Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
1,위즈덤,25 1B,3.69,69,3.43,0.26,299,298,253,53,67,15,1,21,147,53,3,0,41,2,1,79,3,0,3,0.265,0.368,0.581,0.949,0.192,167.7,3.69,1루수
2,오스틴,25 1B,2.65,75,2.41,0.24,314,309,265,52,72,12,0,20,144,55,2,0,44,0,6,45,7,0,5,0.272,0.369,0.543,0.912,0.173,153.9,2.65,1루수
3,디아즈,25 1B,2.65,89,2.02,0.63,383,380,345,54,105,16,0,31,214,93,1,0,31,2,4,66,8,0,5,0.304,0.36,0.62,0.98,0.19,152.4,2.65,1루수
4,채은성,25 1B,1.56,87,1.99,-0.43,339,334,309,41,92,21,1,16,163,61,1,1,20,7,2,69,4,3,0,0.298,0.354,0.528,0.882,0.163,134.4,1.56,1루수
5,데이비슨,25 1B,1.24,63,1.56,-0.32,245,245,220,30,68,10,0,16,126,47,0,0,14,6,0,66,7,0,5,0.309,0.359,0.573,0.932,0.178,150.2,1.24,1루수
6,양석환,25 1B,0.78,60,0.5,0.29,247,247,218,27,54,13,0,6,85,23,0,0,21,5,0,66,6,0,3,0.248,0.324,0.39,0.714,0.115,100.5,0.78,1루수
7,오선우,25 1B,0.76,70,1.41,-0.65,270,270,247,40,75,15,1,8,116,34,0,1,22,1,1,79,6,0,0,0.304,0.363,0.47,0.833,0.153,133.0,0.76,1루수
8,고명준,25 1B,0.67,85,0.16,0.51,331,331,310,26,87,18,1,7,128,39,1,0,14,2,0,57,6,0,5,0.281,0.311,0.413,0.724,0.108,91.5,0.67,1루수
9,나승엽,25 1B,0.2,72,0.72,-0.53,285,283,242,31,57,9,2,8,94,35,0,0,39,2,1,44,8,1,1,0.236,0.345,0.388,0.733,0.131,106.9,0.2,1루수
10,이호연,25 1B,0.17,19,0.19,-0.02,55,54,51,8,17,4,0,1,24,4,0,0,2,1,0,8,2,1,0,0.333,0.37,0.471,0.841,0.153,124.2,0.17,1루수
11,김민혁,25 1B,0.13,10,0.08,0.05,21,21,17,2,2,0,0,1,5,1,0,0,4,0,0,6,0,0,0,0.118,0.286,0.294,0.58,0.09,77.6,0.13,1루수
12,문상철,25 1B,0.13,66,-0.12,0.25,190,188,159,20,33,5,1,4,52,17,1,1,21,5,0,38,3,2,3,0.208,0.314,0.327,0.641,0.098,83.2,0.13,1루수
