Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
1,고승민,25 1B,0.208,13,10,88.0,80,73,7,0,100.0,8.18,2.67,,0.16,,0.1,,,,2.93,5.93,-0.88,2.05,0.298,0.208,1루수
2,정훈,25 1B,0.184,25,15,150.1,163,148,14,1,99.4,9.7,3.15,,-0.23,,0.22,,,,3.15,7.08,-1.34,1.81,0.32,0.184,1루수
3,천성호,25 1B,0.17,5,3,41.0,49,45,4,0,100.0,10.76,2.01,,0.08,,,,,,2.09,6.53,-0.42,1.67,0.212,0.17,1루수
4,강승호,25 1B,0.154,29,9,116.0,123,113,9,1,99.2,9.47,2.07,,0.21,,0.11,,,,2.39,4.53,-0.88,1.51,0.243,0.154,1루수
5,김주성,25 1B,0.124,3,2,16.0,23,21,2,0,100.0,12.94,1.31,,0.03,,,,,,1.34,14.8,-0.12,1.22,0.136,0.124,1루수
6,임지열,25 1B,0.123,10,6,61.0,62,60,2,0,100.0,9.15,1.62,,0.11,,,,,,1.73,4.99,-0.52,1.21,0.176,0.123,1루수
7,한재환,25 1B,0.123,6,2,21.0,24,23,1,0,100.0,10.29,1.33,,0.04,,,,,,1.37,12.33,-0.16,1.21,0.139,0.123,1루수
8,박민우,25 1B,0.119,4,1,14.0,17,17,0,0,100.0,10.93,1.24,,0.03,,,,,,1.26,2.28,-0.1,1.16,0.129,0.119,1루수
9,박병호,25 1B,0.109,12,11,75.0,60,49,10,1,98.3,7.08,1.55,,0.14,,0.1,,,,1.79,4.22,-0.72,1.07,0.182,0.109,1루수
10,이영빈,25 1B,0.106,12,2,34.0,43,41,2,0,100.0,11.38,1.18,,0.06,,,,,,1.24,4.58,-0.2,1.04,0.126,0.106,1루수
